index	toxic_comment	neutral_comment1	neutral_comment2	neutral_comment3
6744	ты сейчас про новые фото Софиам? не поверишь, но со мной творится та же хуйня :(	ты сейчас про новые фото Софиам? не поверишь, но со мной творится тот же бред	Ты сейчас про новые фото Софиам? Не поверишь, но со мной творится то же самое	Ты сейчас про новые фото Софиам?не поверишь,но со мной творится то же самое
6745	СУКА!ЭТО ВСЕ БЛЯТЬ ИЗ-ЗА ЕБАНОГО МОРОЗА!! КОТОРЫЙ ЗАМОРОЗИЛ РУЧКУ ДВЕРИ!(	Это все из-за мороза, который заморозил ручку двери	ЭТО ВСЕ  ИЗ-ЗА СИЛЬНОГО МОРОЗА!! КОТОРЫЙ ЗАМОРОЗИЛ РУЧКУ ДВЕРИ!(	
6746	Бля.По ступенькам так ебано подниматься...Ебаный холявщик.Кроме ног ничего не болит...(Ну хоть что то.	По ступенькам так тяжело подниматься. Лентяй. Кроме ног ничего не болит. Ну хоть что-то.		
6747	И ТАК КАК И ОБЕЩАЛ ОТ МЕНЯ ВАМ ПОДПИСЧИКИ :3ВЫ ДОБАВЛЯЕТЕ ЭТОТ ТВИТ В ИЗБРАННОЕ И ДЕЛАЕТЕ  ЗАМЕН Я ВАМ ПОДПИСЧИКОВПОГН…	И ТАК КАК И ОБЕЩАЛ ОТ МЕНЯ ВАМ ПОДПИСЧИКИ :ВЫ ДОБАВЛЯЕТЕ ЭТОТ ТВИТ В ИЗБРАННОЕ И ДЕЛАЕТЕ  ЗАМЕН Я ВАМ ПОДПИСЧИКОВ	Как я и обещал. Вы - добавляете этот твит в избранное, я - взамен добавляю вам подписчиков.	
6748	Покажите мне того пидараса , который придумал наркотики ? (	Покажите мне того человека, который придумал наркотики ?	Покажите мне того человека,который придумал наркотики	
6749	Пиздец пацаны , не правильно вас поняли , простите !(	пацаны, вас неправильно поняли, простите.	Пацаны, неправильно вас понял, простите	Пацаны, не правильно вас поняли, простите
6750	Дебилы! Люди только больше придут в ярость. (((	Люди только больше придут в ярость		
6751	Заебала пиздеть овца, бесишь... Расстроился((	Хватит говорить, ты меня раздражаешь, я расстроился	устал от твоей болтовни… расстроился	
6752	блять..где его ноготь?	Где его ноготь?	Где его ноготь?	блин...где его ноготь?
6753	Мне сказали, если буду сливать инфу зарежут на хуй((	Мне сказали ,если буду сливать инфу то накажут.	Мне сказали, если буду сливать инфу зарежут	
6754	аарон меня обижает и не хочет извинятьсяуеба((	Аарон меня обижает и не хочет извинятся	аарон меня обижает и не хочет извиниться	
6755	наша параша (((	Наш туалет		
6756	Бля! Ну он же не ребенок, как ваш Навальный (	Ну он же не ребенок, как ваш Навальный	Да! Ну он же не ребенок, как ваш Навальный (	Ну он же не ребёнок как ваш Навальный
6757	ОххххНаверное пора спатьИначе завтра историю просплюВсе бы ничего, но мне потом пизды вставят:(	Охххх Наверное пора спать. Иначе завтра историю просплю. Все бы ничего, но меня потом накажут:(	ОххххНаверное пора спатьИначе завтра историю просплюВсе бы ничего, но мне потом плохо будет (	
6758	ой ну все пизда как я без твоего пароля проживу((((((((	Ой ну все как я без твоего пароля проживу((((((((	ой, какой ужас, как я без твоего пароля проживу(((	
6759	Да блять подругаа... не когда бы не подумала(((	Да, подруга-никогда бы не подумала.	Да - подругаа... не когда бы не подумала(((	подругаа... не когда бы не подумала(((
6760	Иди на хер со своими смайликами, вместо ответов:(	Иди лесом со своими смайликами, вместо ответов:(	уйди со своими смайликами, вместо ответов	мне ответы нужны, а не смайлики
6761	Соседи, суки лучше бы сверлили чем слушать эту сраную попсу :(	Соседи, лучше бы сверлили чем слушать эту попсу :(	Соседи,лучше бы сверлили,чем слушать эту поиск :(	
6762	ты только зашел в твиттер, а тебя уже посылают нахуй скапздц(((	только зашёл в твиттер а тебя уже посылают	Ты только зашёл в Твиттер,а тебя уже посылают куда подальше(((	Ты только зашёл в твиттер,а тебя уже посылают(((
6763	точнее пиздец творится с автобусами, а на улице просто дебильный ветер:(	точнее кошмар творится с автобусами, а на улице просто ужасный ветер:(	Точнее кошмар творится с автобусами ,а на улице сильный ветер :(	
6764	ПЛАКАТ НЕ ПРОДЕРЖАЛСЯ И ПЯТИ МИНУТ НА СТЕНЕ!!!:( ЕГО ВОЗЬМЕТ ТОЛЬКО МОМЕНТ	Плакат не продержался и пяти минут на стене. Его возьмет только Момент.		
6765	Я ленивая жопа, надо диплом рисовать, а я сижу :(	Я ленивая, надо диплом рисовать, а я сижу	Надо диплом рисовать, а мне лень	Вот я ленивая, надо диплом писать, а я сижу(
6766	Дура,Дура Сижу и плачу из-за всякой фигни...как же это на меня похоже =((	глупая, сижу и плачу из-за всякой ерунды...как же это похоже на меня	Сижу и плачу из-за всякой фигни...как же это на меня похоже =((	
6767	НУ все я пошел,думаю как всегда не хуя нормального не выйдет((( ну похуй!	НУ все я пошел,думаю как всегда нормального не выйдет(((	Ну все, я пошел,думаю как всегда ни чего нормального не выйдет((( смирюсь	НУ все я пошел,думаю как всегда ничего нормального не выйдет((( да и ладно
6768	у нас вообще пиздец, жестко все,я аж планирую свалить из дома ((	у нас вообще капец,жестко все,я аж планирую свалить из дома((	У нас все плохо,я аж планирую уйти из дома	
6769	сука я не могу до конца февраля ждатьпоч так долго((	Не могу ждать до конца февраля почему так долго	Я не могу до конца февраля ждать, почему так долго((	
6770	кажется, я проебала кольцо, и кажется, мне пиздец :(	Кажется я потеряла кольцо, и ,кажется, мне конец.	Кажется, я потеряла кольцо и Кажется,меня накажут	кажется, я потеряла кольцо.
6771	Майданутые укронацики истерично переходят к открытым угрозам в адрес украинских, российских и беларусских властей!(((	Нацисты истерично переходят к открытым угрозам в адрес украинских, российских и беларусских властей!(((		
6772	ПИСЕЦ, А Я ДИБИЛ МНЕ ПРЕДЛАГАЛИ В КАФЕ ЙТИ, А Я НЕ ПОШЕЛ(((	МНЕ ПРЕДЛАГАЛИ В КАФЕ ЙТИ, А Я НЕ ПОШЕЛ((	капец, мне предлагали в кафе пойти, а я отказался, дурак	
6773	ТЫ ЗОСТОВЛЯИШ МИНЯ СТРАТАТЬ(((	ты заставляешь меня страдать (((		
6774	""" Прислушайтесь к голосу разума! Слышите? Слышите какую хуйню несет?"" Ну вот:("	Прислушайтесь к голосу разума! Слышите какую чушь он несёт?		
6775	микроволновка-шлюха((плов холодный,а от тарелки хоть подкури:/	Микроволновка -плохая ,плов холодный ,а тарелка горячая	Микроволновка некачественная(( плов холодный, а тарелка горячая:/	Микроволновка(( плов холодный, а тарелка горячая
6776	Бля ебаный кросс голова до сих пор кружится:(	Из- за этого кросса голова до сих пор кружится:(		
6777	фу ну пиздец такой быть :(( надо про Питрик или Фрэрард попиздеть	надо про Питрик или Фрэрард поговорить	Фу такой быть,надо про Питрик или Фрэрард поговорить	
6778	Бляя Колян поправляйся давай (( напугал блин	Колян поправляйся давай (( напугал	Колян, поправляйся давай, напугал	
6779	Пора бить тревогу.....БУМ-БУМ-БУМ!!!ХЕРАААААК!!!ХЕРААААК!!!ВЕРНИТЕЕЕСЬ !!!!!АААААААААААААААААА 3(	Пора бить тревогу.....БУМ-БУМ-БУМ!!!БАААААМ!!!БААААМ!!!ВЕРНИТЕЕЕСЬ !!!!!АААААААААААААААААА 3(		
6780	Хочу уже ОТДЫХА!!!!!!!!!! очень устала(((	Хочу отдохнуть. Очень устала		
6781	Вован, пидор интернет отключил(	Вова интернет отключил.	Вова, интернет отключили	Вован интернет отключил
6782	ПОЭМЫ НЕКРАСОВА - ЭТО ЖЕСТЬ! Я ЧИТАЮ УЖЕ 141 СТР И НИХЕРА НЕ ПОНИМАЮ О ЧЁМ НАПИСАНО. ЭТО ВЫНОС МОЗГА ;(	ПОЭМЫ НЕКРАСОВА - ЭТО ЖЕСТЬ! Я ЧИТАЮ УЖЕ 141 СТР И НИчего НЕ ПОНИМАЮ О ЧЁМ НАПИСАНО. ЭТО ВЫНОС МОЗГА ;(	ПОЭМЫ НЕКРАСОВА - ЭТО ЖЕСТЬ! Я ЧИТАЮ УЖЕ 141 СТР И Ничего НЕ ПОНИМАЮ О ЧЁМ НАПИСАНО. ЭТО ВЫНОС МОЗГА ;(	ПОЭМЫ НЕКРАСОВА - ЭТО ЖЕСТЬ! Я ЧИТАЮ УЖЕ 141 СТР И НИ ЧЕГО НЕ ПОНИМАЮ О ЧЁМ НАПИСАНО.
6783	как это??? блять((обрежу все батареи нах	как это??? обрежу все батареи		
6784	хватит на меня бычить, заебал:((((	Хватит говорить со мной агрессивно, надоел:((((	Хватит на меня наезжать ,надоело	
6785	ОН ВАПЩИ ДЭБИЛ(((( НИГРАМОТНЫЙ(	Он вообще не грамотный		
6786	нет( у меня только один экзамен был. это пиздец	нет( у меня только один экзамен был.		
6787	ИТА ПАДЛА СТАЩЫЛА СИВОДНЯ МОЙ ПИНАЛ  ---&gt;  yanka3178  :(	Этот человек украл сегодня мой пенал		
6788	когда домой шла у меня тааааак замёрзли руки,просто пиздец это так больно.....((	когда домой шла у меня так замёрзли руки, это так больно.....	когда домой шла, у меня таааак замёрзли руки, просто ужас, это так больно	Когда домой шла, у меня таааак замёрзли руки, просто ужас, это так больно…
6789	Та пиздец вообще не такого ждал( ну ладно что поделать.	Вообще не такого ждал... Ну ладно, что поделать.	Вообще не такого ждал, ну ладно, что поделать	
6790	бля вот та же хуйня, хочу некоторых хейтеров удалить, а солидарность, взаимный фолловинг  по старой дружбе,вся хуйня :(	Блин вот та же фигня, хочу некоторых хейтеров удалить, а солидарность, взаимный фолловинг  по старой дружбе,все остальное :(	Хочу некоторых хейтеров удалить, А солидарность, взаимный фолловинг, по старой дружбе не позволяют	
6791	блять( — А ты будешь меня ждать?	- А ты будешь меня ждать?	А ты будешь меня ждать?	а ты будешь меня ждать?
6792	Пиздец! Просто пиздец!!! Весь второй тайм вести в счете, и в итоге проиграть! 30:31 (((	капец!просто капец!!!весь второй тайм вести в счете,и в итоге проиграть!30:31(((	Весь второй тайм вести в счете, и в итоге проиграть! 30:31	Ужас! Вели весь матч и в итоге проиграли
6793	сука, эта ресница залезла прям в глаз и не хочет  вылазить, глаз красный пздц вообщем (((((((	эта ресница залезла прям в глаз и не хочет  вылазить, глаз красный вообщем ((((((	Эта ресница попала прямо в глаз и не хочет вылезать, глаз красный, ужас вообщем((((	
6794	:(((( мне чота так хуево шо ппц	что-то мне нехорошо	Мне что то так плохо	
6795	надо приводить себя в порядок...,а то пиздец скатилась(	надо приводить себя в порядок...,а то кошмар скатилась(	Надо приводить себя в порядок, а то сильно скатилась	Надо приводить себя в порядок, а то скатилась
6796	Бля ппц какаято хуйня творится в душе и в голове(((((	Блин, пипец какая-то фигня творится в душе и в голове	Какая-то ерунда творится в душе и в голове	
6797	Что за блядь хуйня?????Захотел выспаться но нихуя не выспался,а все потому что сестра бля с утра бегает орет как резанная((	что такое? захотел выспаться но совсем не выспался, а всё потому что сестра с утра бегает орёт как резанная((	Что такое? Захотел выспаться но совершенно не выспался, а все потому что сестра бегает и кричит	
6798	Мелкая выебывалась, выебывалась и пропала (	Маленькая нарывалась, нарывалась и пропала	Мелкая выпендривалась, выпендривалась и пропала (	Мелкая не поддавалась, не поддавалась и пропала
6799	теперь хуй ретвитнешь Сашку((	Теперь не получится ретвитнуть Сашку	Теперь нельзя ретвитнуть Сашку(((	
6800	погуляй со мной! Все дебилы (	Погуляй со мной! Мне с другими неинтересно!	погуляй со мной!	
6801	Сука,голова уже целый день раскалывается, даже гулять не пошла:(	Голова уже целый день раскалывается, даже гулять не пошла:(	Голова уже целый день раскалывается, даже гулять не пошла	Голова уже целый день раскалывается, даже гулять не пошла:(
6802	Ну блин!((Я заебалась ее делать сегодня...	Ну блин!((Я устала ее делать сегодня...	Ну, блин!(( Я замучилась ее делать сегодня.	
6803	:|ТОЛЬКО ПОПРОБУЙ НЕ ЗАБРАТЬ С ПОЧТЫ, ПИДР	Только попробуй не забрать с почты	Только попробуй не забрать с почты	только попробуй не забрать вещь с почты
6804	пиздос красивый гол просрал((((	красивый гол не получился	хороший гол пропустил.	
6805	Данка рассталась со своим( пиздец....родная я с тобой. Ты всегда была рядом,когда мне было больно теперь я буду тоже. Ведь я просто все это	Данка рассталась со своим( родная я с тобой. Ты всегда была рядом,когда мне было больно теперь я буду тоже. Ведь я просто все это	Данка рассталась со своим(.родная я с тобой. Ты всегда была рядом,когда мне было больно теперь я буду тоже. Ведь я просто все это	Данка рассталась со своим... Родная, я с тобой. Ты всегда была рядом, когда мне было больно, теперь я буду тоже
6806	так блядь где  мне скучно без неё.я волнуюсь(((	Где мне скучно без неё,я волнуюсь	Мне скучно без нее. Я волнуюсь...	
6807	никогданикогда не пихайте учебники на верхнюю полку кое-какибо когда нибудь они смачно ебнутся вам на ебло при открытии шкафчика(((((((	Никогда, никогда не закидывайте учебники на верхнюю полку кое-как. Иначе когда-нибудь при открытии шкафчика они вывалятся вам на голову.	никогданикогда не пихайте учебники на верхнюю полку кое-какибо когда нибудь они смачно упадут вам на лицо при открытии шкафчика(((((((	никогданикогда не пихайте учебники на верхнюю полку кое-какибо когда нибудь они смачно упадут вам на лицо при открытии шкафчика(((((((
6808	да уж(( пиздец день прощайте все мои друзья	да уж(( ужасный день, прощайте все мои друзья		
6809	ночи с:	Спокойной ночи.		
6810	Бабуля: -О! Опять ужралась дура!... а мне и смешно и стыдно... она знает как мне душеано больно.. вот и прощает мне всё это дерьмо...(	Бабуля: - О! Опять напилась! ... а мне и смешно, и стыдно... она знает, как мне душевно больно, вот и прощает мне это...(	Бабуля:О! Опять напилась? А мне и смешно и стыдно, она знает как мне душевно больно... Вот и прощает мне все	
6811	Я, блять, настолько лох, что когда мне говорят об этом, я только и отвечаю: я знаю.:(	Я настолько неудачник, что когда мне говорят об этом, я только и отвечаю: я знаю.	настолько плох, что когда мне говорят об этом, я только и отвечаю: я знаю.:(	
6812	ой галочку не убрал — тварь(	ой галочку не убрал(		
6813	ТАК ПОЛУЧАЕТСЯ .Я БЫ ХОТЕЛ С ТОБОЙ ОБЩАТЬСЯ БОЛЬШЕ. НО БЛЯТЬ.Я МУДАК И ПОТОМУ НЕ ВЫХОДИТ ;((	ТАК ПОЛУЧАЕТСЯ .Я БЫ ХОТЕЛ С ТОБОЙ ОБЩАТЬСЯ БОЛЬШЕ. НО Я ДУРАК И ПОТОМУ НЕ ВЫХОДИТ ;((	Так получается. Я бы хотел с тобой общаться больше, но не выходит.	
6814	Вот ты ленивка. Я ж тибе ужи писал. Батарею хуй держит и хуй заряжается до конца. И две полосы на экране отмерло нахуй (((((	Вот ты ленивая ,я тебе уже писал ,батарею держит плохо ,и не заряжается до конца ,так и две полосы на экране исчезли	Вот ты ленивка. Я ж тебе уже писал Батарею не держит и не заряжается до конца.И две полосы на экране отмерло всё (((((	
6815	НАААДЯЯЯ НЕ УХАААДИ ПЛЗ ОТ НИГО(((((9999	Надя, не уходи пожалуйста от него(		
6816	а я вот хуй фотку выставлю(( качество дерьмо :С	Я наверно не выставлю фотку из за плохого качества	А я вот ни за, что фотку выставлю(( качество плохое :С	А я не выставлю фотку, качество плохое
6817	че то пиздец на труба быстро разрижаться стала(	В последнее время,что то совсем телефон быстро разряжаться стал	Что томтруба быстро разряжаться стала	
6818	Сессия хуессия,когдаж ты уже закончишься(	Сессия,когда ты закончишься	Сессия, когда ты уже закончишься	
6819	Мне летом 20 стукнет. Я щас об этом подумал и охуел. 20 лет. Двадцать. Сукпздц скоро умирать(((((99	Мне летом 20 стукнет. Я щас об этом подумал и удивился. 20 лет. Двадцать. Кошмар,скоро умирать(((((99	Мне летом 20 стукнет. Я щас об этом подумал и обалдел. 20 лет. Двадцать.Скоро умирать	Мне летом 20 стукнет. Я щас об этом подумал и задумался. 20 лет. Двадцать. Скоро умирать(((((99
6820	А потом понимаешь ,что всем похую на тебя(((((	А потом понимаешь, что ты всем безразличен	А потом понимаешь ,что всем всё равно на тебя(((((	
6821	лохпидр.мне всегда так обидно, когда большой аптайм сбрасывается(	.мне всегда так обидно, когда большой аптайм сбрасывается	мне всегда так обидно, когда большой аптайм сбрасывается(	
6822	Ну воооот, я начинаю его пиздец как ревноватьИ это оочень плохо(ненавижу себя	Ну воооот, я начинаю его очень как ревноватьИ это оочень плохо(ненавижу себя	Ну воооот, я начинаю его очень сильно как ревноватьИ это оочень плохо(ненавижу себя	Ну  вот,я начинаю его ревновать. И это очень плохо
6823	Боже, 1с такая хуйня...не получить мне этот зачет никогда:(	Боже, 1с такой кошмар! Мне не получить этот зачёт никогда :(	Боже, 1с такая тягомотина...не получить мне этот зачет никогда:(	
6824	Ненавижу блядь Тайланд! Потому что я уезжаю, а он остается ;(	Ненавижу Тайланд! Потому что я уезжаю, а он остается ;(		
6825	О НЕТ Я ПРОСРАЛА 1К ТВИТОВПЕРВАЯ ТЫСЯЧКА И Я ЕЁ ПРОГАВИЛА :(	О нет, я потеряла 1к твитов. Первая тысяча и я ее пропустила :(		
6826	Пророк Кевинэтот ускоглазый чмырь мне сразу понравилсяну Зикну я же любила тебяза чтоо(	Пророк Кевин мне сразу понравился. Я же любила тебя, за что?	Пророк Кевин мне сразу понравилсяну Зикну я же любила тебяза чтоо	
6827	О боже.--.Некогда не идела таких идиотов как ты :|	О боже... никогда не видела таких наивных как ты)		
6828	батя всякие пустые надежды в голову вбил ((( нахуй всё	батя всякие пустые надежды в голову вбил ((( зачем мне все это	батя всякие пустые надежды в голову вбил. Да пошло оно всё...	
6829	Бляяять такую хуйню нарисовал(( задумка збс а рисовать не умею. Лох чмо(((	Такой бред нарисовал. Задумка класс, а рисовать не умею	Плохо нарисовал,задумка была хорошая а рисовать не умею.	Такую ерунду нарисовал(( задумка хороша, а рисовать не умею.
6830	настр заебись систр не то пишит всё ясно что нихуя не ясно((	настр хорошее систр не то пишит всё ясно что ничего не ясно((		
6831	но, пиздец! почти со всеми в прошлом году;(	Но! Почти со всеми в прошлом году.	Почти со всеми в прошлом году	Кошмар! почти со всеми в прошлом году;(
6832	ДЖОННИ!КАК ТЫ МОГ?!?!НАСТИ ЧЕРЕЗ 3 ГОДА 18!А МНЕ ВСЕГО ЛИШЬ ЧЕРЕЗ 5 ЛЕТ!!!!КАКОГО ХРЕНА?!?! :(((	Джонни, как так можно было! Насте через 3 года 18, а мне всего лишь через 5 лет!		
6833	-ОНИ СТОЯТ!-ЛАН,ВООБЩЕ ТО ОНИ ИДУТ!!Сук пздц ((99((99((((9(9(9	ОНИ СТОЯТ!-ЛАН,ВООБЩЕ ТО ОНИ ИДУТ!!	Они стоят! Ладно! Вообще-то они идут...	-ОНИ СТОЯТ!-ЛАН,ВООБЩЕ ТО ОНИ ИДУТ!!
6834	какого хуя ты менч не фолловишь сска :(	Почему ты меня не фолловишь		
6835	Данка рассталась со своим( пиздец....родная я с тобой. Ты всегда была рядом,когда мне было больно теперь я буду тоже. Ведь я прошла все это	Данка рассталась со своим. Ты всегда была рядом,когда мне было больно теперь я буду тоже. Ведь я прошла все это	Данка рассталась со своим( ужас… родная, я с тобой. ты всегда была рядом, когда мне было больно, теперь я буду тоже. ведь я прошла все это	Данка рассталась со своим .родная я с тобой .ты всегда была рядом , когда мне было больно , теперь я буду тоже.  Ведь я прошла все это
6836	Нормик погуляли, хоть и хуесосы не очень веселые(Сейчас домашняя посиделка в кругу баб :3	"Нормально погуляли, хоть и компания не очень веселая
Сейчас домашняя посиделка в женском кругу"		
6837	нет температуры,просто хуево((	Нет температуры,просто плохо	Нет температуры, просто плохо...	нет температуры,просто плохо((
6838	мимими аняня уруру! нет ответа? пошла ты нахуй!все такие предсказуемые (((	мимими аняня уруру! нет ответа? все такие предсказуемые (((	мимими аняня уруру! нет ответа? Отстань от меня !все такие предсказуемые (((	
6839	НАХУЯ ЗВОНИТЬ МАМЕ ИЗ-ЗА ТОГО ЧТО Я ОПОЗДАЛА НА 2 УРОКА,А НЕ НА ВСЕ (	Зачем звонить маме из-за того, что я опоздала на два урока, а не на все...	Зачем ЗВОНИТЬ МАМЕ ИЗ-ЗА ТОГО ЧТО Я ОПОЗДАЛА НА 2 УРОКА,А НЕ НА ВСЕ (	
6840	ОНИ СУКА ПЛАСОВ ОБОСРАЛИ((((((((((((	Они пласов оскорбили	они оскорбили пласов	
6841	-  ты любишь егора или нет?- Я ЛЮБЛЮ ХАБАРОВАА ОЧЕНЬ ЛЮБЛЮ БЛЯТЬ!!! :(	ты любишь егора или нет?- Я ЛЮБЛЮ ХАБАРОВАА ОЧЕНЬ ЛЮБЛЮ!! ! :(	"-ты любишь Егора или нет?
-я люблю Хабарова, очень люблю!!!"	
6842	блин, тоже не фонтан((((завтра в шк, вообще пиздец((((	Тоже не фонтан (,завтра в школе мне прилетит	блин, тоже не фонтан((((завтра в шк, вообще капец((((	
6843	блять, вот ты раньше не мог сказать?! я так к тебе привыкла...что ж мне так не везет(	Вот ты раньше не мог сказать? Я так к тебе привыкла, что же мне так не везёт	почему ты раньше не мог сказать?! я так к тебе привыкла...что ж мне так не везет?	
6844	Я ДОЛЖЕН НАЙТИ ЭТОТ ЖУРНАЛ В СВОЕМ ДНИЩЕ (9((	Я ДОЛЖЕН НАЙТИ ЭТОТ ЖУРНАЛ у себя	Я ДОЛЖЕН НАЙТИ ЭТОТ ЖУРНАЛ.	
6845	Ненавижу, когда девушки ебут парням мозги. Но походу я сама такая же глупая.(	Ненавижу, когда девушки капают парням на мозги. Но походу я сама такая же (	Не терплю, когда девушки морочат голову парням. Но похоже, я и сама не лучше.	
6846	вообще не смешно!!((( нога блядь опухла!!!  раза 2- 3	Вообще не смешно, нога опухла, раза 2-3	вообще не смешно!!((( нога опухла!!!  раза 2- 3	вообще не смешно!!((( нога опухла!!!  раза 2- 3
6847	просто у кого из друзей ни спрошу, получаю ответ что-то типо: я не знаю, сама решай, твои предки. Тупые ублюдки, даже подсказать не могут(	Просто у кого из друзей не спрошу, получаю ответ что-то типа: я не знаю, сама решай, твои родители. Даже подсказать не могут(	Просто у кого из друзей ни спрошу, получаю ответ что-то типа: я не знаю, сама решай, твои родители. Даже подсказать не могут	просто у кого из друзей ни спрошу, получаю ответ что-то типо: я не знаю, сама решай, твои предки. Недалекие, даже подсказать не могут(
6848	Наши бабы как обычно в жопе мира :(	Наши девушки как обычно далеко		
6849	Сука ну за что??! Лучше бы не уезжали,папа просто могет, ну зачем он?(( все настроение в жопе.	ну за что??! Лучше бы не уезжали,папа просто могет, ну зачем он?(( все настроение плохое	блин ну за что? лучше бы не уезжали, папа может, но зачем он?? все настроение испортилось	Ну за что мне это? Лучше бы не уезжали, папа просто может, ну зачем он? (( все настроение испорчено.
6850	Бля, ну охуеть теперь(	Я удивился теперь	блин,ну офигеть теперь(	
6851	Друган, смотри не стрельни только. До конца жизни не отделаешься. С параноидальной ебанушкой ещё и семью строить, ты вскроешься!(	Друг, смотри, не стрельни только - до конца жизни не отделаешься. С такой ещё и семью строить, ты пожалеешь...		
6852	Вечная память Пашапиздец какая жизнь не справедливая(( слезы на глазах(Царство тебе небесное	Вечная память Паша какая жизнь не справедливая(( слезы на глазах(Царство тебе небесное	Вечная память Паша как жаль какая жизнь не справедливая(( слезы на глазах(Царство тебе небесное	Вечная память, Паша. Какая жизнь несправедливая((слёзы на глазах ( царство тебе небесное
6853	Стояли с Нателой на метале ждали 4 полтора часа блядь!замерзли пиздец как((	Стояли с Нателой на метале ждали 4 полтора часа !замерзли очень сильно((	Стояли с Нателой ждали 4 полтора часа. Очень сильно замёрзли	
6854	в данном случае нахуй идет налогоплательщик :(	В данном случае не прав налогоплательщик :(		
6855	- у тебя уже борода растёт...- ну так пф- а я с пидорскими усиками хожу((....- ВОТ ПЕРЕСТАНЕШЬ ПИКАТЬ ТРУНДА - ВЫРАСТЕТ!- АХАХАХ- АХХАХ	У тебя борода растет, а я с усиками хожу	-у тебя уже борода растёт... - ну так пф-а я с усиками хожу	У тебя уже борода растёт - ну так пф - а я с усиками хожу - вот перестанешь пикать - вырастет
6856	Чего именно она??( Я не хочу в нее влб,это же пиздец будет	Чего именно она? Я не хочу в неё влюбляться.	Чего именно она??( Я не хочу в нее влб,это же кошмар будет	
6857	ФУ! Жирный жирный кабаней! Противно аж смотреть на себя :(	Фу, толстый, противно аж смотреть на себя		
6858	завтра в Селидовкую больницухочу,уже быстрейпусть уже посмотрят мою челюстьзаебала щелкатьуже пол года как!(	завтра в Селидовкую больницухочу,уже быстрейпусть уже посмотрят мою челюсть щелкает уже пол года как!(	завтра в Селидовкую больницухочу,уже быстрейпусть уже посмотрят мою челюсть надоело щелкатьуже пол года как!(	
6859	Дала пощечину и столкнула со скамейки,а потому что приставать не надо,дебилы:(	Дала пощечину и столкнула со скамейки,а потому что приставать не надо		
6860	АХАХХА КАК МОЖЕТ БЫТЬ ИНАЧЕ?ТАК ИЛИ ИНАЧЕ ХАХАХ И ТОЖЕ ШЛЮХ ХОЧУ(	Ахаха, как может быть иначе? Так или иначе хахаха тоже хочу.		
6861	Анастасия ЖИРЖИРЖИРЖИРЖИРЖИРЖИРЖИРЖИРЖИРЖИРЖИРЖИРЖИРЖИРЖИР КРОВЬ ЖИРЖИРЖИРЖИРЖИРЖИР СЕЛФ ХАРМ ЖИРУХААААААААААААААА :( Старк…	Анастасия ЖИРЖИРЖИРЖИРЖИРЖИРЖИРЖИРЖИРЖИРЖИРЖИРЖИРЖИРЖИРЖИР КРОВЬ ЖИРЖИРЖИРЖИРЖИРЖИР СЕЛФ ХАРМ ( Старк…		
6862	БЛ(( НУ ЛАДНА КРЧ, Я ПОЛЗАЮ ПО ГОРОДУ ЗАВТРА, ТАМ ДАЛЖНО БЫТЬ ШТО ТО ПОХОЖЕЕ НА ФОРМУ	НУ ЛАДНА КРЧ, Я ПОЛЗАЮ ПО ГОРОДУ ЗАВТРА, ТАМ ДАЛЖНО БЫТЬ ШТО ТО ПОХОЖЕЕ НА ФОРМУ	Ну ладно, короче я иду по городу завтра, там должно быть что то похожее на форму	
6863	сукаааааа тройка по русскому. вот это капец!!! кашмар просто полный:_(	Ааа у меня тройка по русскому.вот это жесть!кошмар просто полный	Тройка по русскому, вот это капец. Кошмар просто полный.	
6864	До 5 утра в дотке. Ах бля, ебаный задрот :((	До 5 утра в доту играешь.ах ты игроман!	до 5 утра в доте, игрок	
6865	Заебись блять!!! Сука!!! Наушник.. Ааа.. Прощай.. Знай, я тебя любила.. Как ты мог уйти от меня??? И в такой момент..ааа..((((	Наушник.. Ааа.. Прощай.. Знай, я тебя любила.. Как ты мог уйти от меня??? И в такой момент..ааа..((((		
6866	если не пошумим блять сегодня то пиздец тогда я разочарован(((	если не пошумим сегодня то тогда я разочарован(((	если не пошумим сегодня то тогда я разочарован(((	
6867	Ну нахуй.. Уже сегодня в эту шкалу.. Пздц.. Жопа мне завтра.. Русский не прочитал;((	Ну да… Уже сегодня в эту школу. Конец мне завтра.. Русский не прочитал;((	Уже сегодня в эту школу. Плохо будет завтра. Русский не прочитал	Сегодня уже в школу, плохо мне будет. Русский не прочитал
6868	.....пойду вскроюсь, да ебаный ты ж в рот, я не выспалась((((	я не выспалась((((		
6869	я не говорю, что он страшный как медуза гаргона, но иногда ракурсы пиздец быввают(	Я не говорю,что он не красивый,но иногда ракурсы плохие бывают	Я не говорю что он не красивый, но иногда разные ракурсы бывают	
6870	даже какая-то уличная кошка своим взглядом посылает меня нахуй :(	даже какая-то уличная кошка своим взглядом посылает меня:(	даже какая-то уличная кошка своим взглядом посылает меня куда по дальше	
6871	Чувствую, завтра пиздец моему животу, ну как всегда! Лучше сразу в школу не пойти, так будет легче... ;(	Чувствую, завтра будет живот болеть, как обычно. Лучше сразу в школу не пойти, так будет легче.	Чувствую, завтра будет плохо моему животу, ну как всегда! Лучше сразу в школу не пойти, так будет легче... ;(	Чувствую, что завтра будет болеть живот. Лучше сразу не пойти в школу, так будет легче.
